"","x"
"1","101108"
"2","105307"
"3","106035"
"4","106062"
"5","11128"
"6","11464"
"7","114931"
"8","116552"
"9","117576"
"10","118325"
"11","1233"
"12","123738"
"13","127567"
"14","130478"
"15","132233"
"16","133755"
"17","138858"
"18","143182"
"19","144231"
"20","14887"
"21","149501"
"22","151193"
"23","152315"
"24","1544"
"25","157632"
"26","163361"
"27","163545"
"28","163876"
"29","172296"
"30","173113"
"31","175770"
"32","177126"
"33","186270"
"34","186833"
"35","188277"
"36","196231"
"37","196520"
"38","196668"
"39","198992"
"40","199577"
"41","203743"
"42","206517"
"43","221396"
"44","224711"
"45","226191"
"46","226753"
"47","22779"
"48","228588"
"49","230385"
"50","2321"
"51","239632"
"52","242358"
"53","243669"
"54","244176"
"55","245406"
"56","246612"
"57","247238"
"58","24737"
"59","252076"
"60","25275"
"61","253448"
"62","258990"
"63","260063"
"64","260548"
"65","261337"
"66","261526"
"67","262459"
"68","270752"
"69","273636"
"70","277529"
"71","2835"
"72","283985"
"73","285293"
"74","285857"
"75","287077"
"76","292023"
"77","293219"
"78","293893"
"79","294021"
"80","294396"
"81","295424"
"82","300577"
"83","300650"
"84","30146"
"85","307409"
"86","308980"
"87","313028"
"88","3139"
"89","314813"
"90","315485"
"91","323088"
"92","324775"
"93","329795"
"94","336586"
"95","343701"
"96","34406"
"97","345042"
"98","34881"
"99","350398"
"100","353735"
"101","356507"
"102","36067"
"103","363586"
"104","364012"
"105","364051"
"106","364585"
"107","367223"
"108","382435"
"109","39085"
"110","391411"
"111","391459"
"112","393630"
"113","397485"
"114","397860"
"115","398591"
"116","41004"
"117","44322"
"118","46357"
"119","48166"
"120","48260"
"121","48748"
"122","48768"
"123","49704"
"124","5046"
"125","50883"
"126","5092"
"127","52125"
"128","53475"
"129","54399"
"130","54906"
"131","55345"
"132","5816"
"133","59332"
"134","60172"
"135","62201"
"136","63261"
"137","63773"
"138","6532"
"139","6549"
"140","6670"
"141","71527"
"142","7467"
"143","75245"
"144","7572"
"145","76665"
"146","79715"
"147","81047"
"148","8764"
"149","91033"
"150","927"
"151","9486"
"152","96031"
"153","96356"
"154","981"
"155","990"
